name,industry,prefecture
株式会社ゲンキー,ドラッグストア,福井県
株式会社コメリ,ホームセンター,新潟県
株式会社バローホールディングス,流通・小売,岐阜県
株式会社福井銀行,地方銀行,福井県
株式会社山陰合同銀行,地方銀行,島根県
株式会社ケア21,介護,大阪府
株式会社不二越,機械メーカー,富山県
スター精密株式会社,精密機器,静岡県
トランコム株式会社,物流,愛知県
岡山県貨物運送株式会社,物流,岡山県
