name,domain,industry,source
株式会社ケア21,care21.co.jp,介護,websearch
株式会社ツクイ,tsukui.net,介護,websearch
みんかい,minkai.jp,介護,websearch
戸田建設株式会社,toda.co.jp,建設,websearch
木内建設株式会社,kiuchi.jp,建設,websearch
東急建設株式会社,tokyu-cnst.co.jp,建設,websearch
前田建設工業株式会社,maeda.co.jp,建設,websearch
トランコム株式会社,trancom.co.jp,物流,websearch
岡山県貨物運送株式会社,okaken.co.jp,物流,websearch
日本貨物鉄道株式会社,jrfreight.co.jp,物流,websearch
